Date,Pairing,Home,Draw,Away,League,Ratings Diff,Result,Home Goals,Away Goals,Total Goals,1X2,O U,OU15,OU35,BTTS,EVEN/ODD,Home Goals Est,Away Goals Est,OU Est,1X2 Est,Goal Diff Est,BTTS Est,EVEN/ODD Est,Total Goals Est,Goal Diff
2024-02-10,Velez Sarsfield - Gimnasia La Plata,2.15,3.0,3.6,AR1,45.08,3:1,3,1,4,1,O,O1.5,O3.5,GG,EVEN,1.65,0.91,U,1,1X/12,GG,ODD,2.56,0.74
2024-02-10,Leones Negros - Cancun FC,2.05,3.2,3.1,MX2,-6.6,2:0,2,0,2,1,U,O1.5,U3.5,NG,EVEN,1.45,0.9,O,1,1X,NG,ODD,2.38,0.55
2024-02-10,Mazatlan FC - Atlas,2.55,3.3,2.65,MX1,-94.31,2:0,2,0,2,1,U,O1.5,U3.5,NG,EVEN,1.35,1.07,U,1,1X,NG,ODD,2.45,0.28
2024-02-10,Racing Club - San Lorenzo,2.2,2.87,3.7,AR1,59.46,4:1,4,1,5,1,O,O1.5,O3.5,GG,ODD,1.54,0.89,U,1,1X,GG,ODD,2.44,0.65
2024-02-10,Sportivo Trinidense - Tacuary FBC,1.98,3.2,3.25,PY1,61.22,1:3,1,3,4,2,O,O1.5,O3.5,GG,EVEN,1.31,0.96,O,1,1X,NG,ODD,2.21,0.35
2024-02-10,Deportivo Cali - Chico FC,1.63,3.5,5.0,CO1,51.61,4:0,4,0,4,1,O,O1.5,O3.5,NG,EVEN,1.99,0.85,O,1,1X/12,NG,EVEN,2.9,1.14
2024-02-10,Jaguares de Cordoba - Rionegro Aguilas,2.9,2.95,2.37,CO1,-189.53,1:0,1,0,1,1,U,U1.5,U3.5,NG,ODD,0.95,0.94,U,2,1X,NG,EVEN,1.79,0.01
2024-02-10,Cienciano Cuzco - Sporting Cristal,2.2,3.1,3.1,PE1,-85.54,2:2,2,2,4,X,O,O1.5,O3.5,GG,EVEN,1.35,0.77,U,1,1X,NG,EVEN,2.2,0.58
2024-02-09,AS Gubbio 1910 - Pescara Calcio,2.45,3.2,2.45,IT3B,-83.74,4:0,4,0,4,1,O,O1.5,O3.5,NG,EVEN,1.63,1.03,U,1,1X,GG,EVEN,2.51,0.6
2024-02-09,Ironi Tiberias - Hapoel Afula,1.35,4.5,6.75,IL2,240.04,0:2,0,2,2,2,U,O1.5,U3.5,NG,EVEN,1.39,0.82,O,X,1X,NG,EVEN,2.16,0.57
2024-02-09,Red Star 93 - FC Martigues,1.9,3.2,3.6,FR3,65.49,2:0,2,0,2,1,U,O1.5,U3.5,NG,EVEN,1.31,0.93,O,1,1X,GG,ODD,2.21,0.38
2024-02-09,Borussia Dortmund - SC Freiburg,1.46,5.0,6.0,DE1,131.34,3:0,3,0,3,1,O,O1.5,U3.5,NG,ODD,2.07,1.13,O,1,1X/12,GG,EVEN,3.18,0.94
2024-02-09,Stal Mielec - Puszcza Niepolomice,2.2,3.2,3.2,PL1,13.82,2:1,2,1,3,1,O,O1.5,U3.5,GG,ODD,1.43,0.92,U,1,1X,NG,ODD,2.35,0.51
2024-02-09,CA Union Santa Fe - Newell`s Old Boys,2.95,2.7,2.75,AR1,-109.39,1:3,1,3,4,2,O,O1.5,O3.5,GG,EVEN,0.96,1.43,O,2,2X,GG,EVEN,2.29,-0.47
2024-02-09,Spal Ferrara 1907 - US Recanatese,1.72,3.4,4.1,IT3B,114.76,1:0,1,0,1,1,U,U1.5,U3.5,NG,ODD,1.4,0.81,U,1,1X,NG,ODD,2.31,0.59
2024-02-09,MC Oran - ASO Chlef,1.95,2.8,3.9,DZ1,-44.92,1:1,1,1,2,X,U,O1.5,U3.5,GG,EVEN,1.29,0.73,U,1,1X,NG,EVEN,1.9,0.56
2024-02-09,SAS Epinal - SO Choletais,2.1,3.1,3.0,FR3,15.16,3:1,3,1,4,1,O,O1.5,O3.5,GG,EVEN,1.72,1.4,U,2,1X,NG,ODD,3.16,0.32
2024-02-09,Olympique Nimes - US Avranches,2.0,3.1,3.25,FR3,15.77,1:0,1,0,1,1,U,U1.5,U3.5,NG,ODD,1.24,1.0,U,1,1X,NG,ODD,2.36,0.24
2024-02-09,Versailles 78 FC - Le Mans UC 72,2.5,2.9,2.6,FR3,-50.51,0:0,0,0,0,X,U,U1.5,U3.5,NG,EVEN,1.29,1.02,U,1,1X,NG,EVEN,2.23,0.27
2024-02-09,Newry City FC - Ballymena United FC,2.7,3.25,2.35,NI1,-47.59,1:1,1,1,2,X,U,O1.5,U3.5,GG,EVEN,1.95,1.57,O,2,1X,GG,ODD,3.39,0.38
2024-02-09,UTC Cajamarca - Universidad César Vallejo,2.4,3.1,2.7,PE1,-113.66,4:0,4,0,4,1,O,O1.5,O3.5,NG,EVEN,1.51,1.38,O,X,1X,GG,ODD,2.86,0.13
2024-02-09,ES Setif - USM Khenchela,1.6,3.25,5.5,DZ1,75.26,2:1,2,1,3,1,O,O1.5,U3.5,GG,ODD,1.24,0.92,U,2,1X,NG,ODD,1.99,0.32
2024-02-09,AE Zakakiou - Othellos Athienou,1.95,3.3,3.2,CY1,40.31,3:3,3,3,6,X,O,O1.5,O3.5,GG,EVEN,2.0,1.22,O,1,1X/12,GG,ODD,3.11,0.78
