Datetime,Pairing,Home,Draw,Away,League,Ratings Diff,Home Goals Est,Away Goals Est,OU Est,1X2 Est,Goal Diff Est,BTTS Est,EVEN/ODD Est,Total Goals Est,Goal Diff
2024-04-09 00:00:00,Godoy Cruz - Club Atletico Sarmiento,1.52,3.75,6.75,AR1,163.33,1.64,0.7,O,1,1X/12,NG,ODD,2.42,0.94
2024-04-09 00:00:00,Club Independiente Petrolero - Deportivo Guabira,1.63,3.5,4.4,BO1,10.14,1.78,0.74,U,1,1X/12,NG,EVEN,2.51,1.04
2024-04-09 00:00:00,CA Platense - CA Tigre,2.15,3.0,3.6,AR1,44.53,1.22,0.77,U,1,1X,NG,ODD,2.05,0.45
2024-04-09 01:00:00,Imbabura Sporting Club - Macara Ambato,2.9,3.1,2.2,EC1,-136.6,1.3,0.86,U,1,1X,NG,EVEN,2.23,0.44
2024-04-09 11:00:00,Nantong Zhiyun - Shanghai Port,5.75,4.0,1.5,CN1,-239.28,0.79,1.79,U,2,2X/12,NG,EVEN,2.61,-1.0
2024-04-09 11:00:00,SC Dnipro-1 - Zorya Lugansk,1.65,3.75,5.0,UA1,176.65,1.66,1.16,U,X,1X,GG,EVEN,2.74,0.5
2024-04-09 12:30:00,Jamshedpur FC - FC Goa,4.0,3.7,1.73,IN1,-156.64,0.95,1.69,O,2,2X/12,NG,ODD,2.66,-0.74
2024-04-09 12:35:00,Beijing Guoan - Sichuan Jiuniu,1.41,4.2,6.75,CN1,309.3,1.77,0.63,U,1,1X/12,NG,ODD,2.47,1.14
2024-04-09 12:35:00,Shandong Taishan - Henan Songshan Longmen,1.44,4.33,6.0,CN1,134.24,1.6,0.82,U,1,1X/12,NG,ODD,2.39,0.78
2024-04-09 13:00:00,Shanghai Shenhua - Wuhan Three Towns,1.4,4.5,6.5,CN1,178.57,2.16,0.88,O,1,1X/12,GG,EVEN,3.2,1.28
2024-04-09 15:00:00,Chennaiyin FC - Northeast United,2.2,3.5,2.85,IN1,-62.62,1.55,1.26,O,1,1X,GG,ODD,2.85,0.29
2024-04-09 15:00:00,Valmieras FK - SC Grobina,1.27,5.0,8.0,LA1,257.81,1.93,0.86,U,1,1X/12,GG,ODD,2.63,1.07
2024-04-09 16:00:00,FK Liepaja - FK Auda Riga,3.0,3.1,2.1,LA1,-58.4,1.08,1.61,O,2,2X,GG,EVEN,2.78,-0.53
2024-04-09 16:00:00,FK Hegelmann Litauen - Dainava Alytus,1.75,3.3,4.0,LT1,108.18,1.46,1.51,U,2,2X,GG,EVEN,2.99,-0.05
2024-04-09 16:30:00,Lokomotiv Sofia - Beroe Stara Zagora,2.5,3.0,2.7,BG1,-17.41,1.04,1.12,U,2,2X,NG,ODD,2.13,-0.08
2024-04-09 17:45:00,NK Maribor - NS Mura,1.39,4.5,6.75,SI1,226.43,1.86,0.9,O,1,1X/12,GG,ODD,2.78,0.96
2024-04-09 18:00:00,Helsingborgs IF - IK Brage,2.35,3.25,2.75,SW2,-46.48,1.1,1.22,U,2,2X,NG,EVEN,2.35,-0.12
2024-04-09 18:30:00,South Africa (W) - Nigeria (W),2.15,2.95,3.2,OLFQCUP,-24.26,1.04,0.87,U,X,1X,NG,EVEN,1.9,0.17
2024-04-09 18:30:00,Cape Town Spurs - Mamelodi Sundowns,6.75,4.2,1.42,ZA1,-402.98,0.82,1.64,U,2,2X/12,NG,ODD,2.42,-0.82
2024-04-09 19:45:00,Blackpool FC - Fleetwood Town,1.63,3.8,5.0,UK3,114.64,1.69,1.18,O,2,1X,GG,EVEN,2.92,0.51
2024-04-09 19:45:00,Leyton Orient - Exeter City,1.82,3.5,4.2,UK3,92.57,1.9,1.09,U,1,1X/12,GG,ODD,3.0,0.81
2024-04-09 19:45:00,Raith Rovers Kirkcaldy - Airdrieonians FC,1.93,3.4,3.5,SC2,59.17,1.66,0.92,O,1,1X/12,NG,ODD,2.64,0.74
2024-04-09 19:45:00,Ayr United - Greenock Morton FC,2.95,3.3,2.15,SC2,-78.2,1.31,1.43,O,2,2X,GG,ODD,2.84,-0.12
2024-04-09 19:45:00,Preston North End - Huddersfield Town,2.25,3.25,3.25,UK2,-2.06,1.21,1.1,U,X,1X,NG,EVEN,2.24,0.11
2024-04-09 19:45:00,Plymouth Argyle - Queens Park Rangers,3.1,3.4,2.3,UK2,-99.87,1.32,1.39,O,2,2X,GG,EVEN,2.51,-0.07
2024-04-09 19:45:00,Charlton Athletic - Wigan Athletic,1.9,3.6,3.7,UK3,68.56,1.55,1.18,O,1,1X,GG,EVEN,2.78,0.37
2024-04-09 19:45:00,Southampton FC - Coventry City,1.8,4.1,3.9,UK2,60.28,2.01,1.16,O,1,1X/12,GG,ODD,3.28,0.85
2024-04-09 19:45:00,Bristol Rovers - Reading FC,2.7,3.5,2.37,UK3,-78.47,1.07,1.49,O,2,2X,NG,EVEN,2.55,-0.42
2024-04-09 19:45:00,Sheffield Wednesday - Norwich City,3.0,3.5,2.25,UK2,-118.08,1.23,1.21,O,X,1X,NG,EVEN,2.44,0.02
2024-04-09 19:45:00,Millwall FC - Leicester City,4.8,3.8,1.71,UK2,-228.52,0.83,1.58,O,X,2X/12,NG,ODD,2.63,-0.75
2024-04-09 19:45:00,Cheltenham Town - Carlisle United,1.62,3.8,5.25,UK3,163.72,1.33,0.88,O,X,1X,NG,EVEN,2.25,0.45
2024-04-09 19:45:00,Stevenage FC - Barnsley FC,2.25,3.4,3.0,UK3,-11.3,1.52,1.18,U,1,1X,GG,EVEN,2.58,0.34
2024-04-09 20:00:00,Real Madrid - Manchester City,2.75,3.5,2.45,CLCUP,-137.47,1.43,1.35,O,1,1X,NG,ODD,2.83,0.08
2024-04-09 20:00:00,Arsenal FC - FC Bayern München,1.75,3.9,4.4,CLCUP,88.29,1.96,0.99,O,1,1X/12,GG,EVEN,2.98,0.97
2024-04-09 20:00:00,Leeds United - Sunderland FC,1.33,5.25,8.75,UK2,280.45,2.38,0.94,O,1,1X/12,GG,ODD,3.35,1.44
2024-04-09 21:00:00,El Gounah - Pyramids FC,4.75,3.7,1.57,EG1,-233.02,1.0,1.39,O,2,2X,NG,ODD,2.36,-0.39
2024-04-09 23:00:00,Estudiantes La Plata - The Strongest,1.2,6.75,12.5,CLICUP,159.84,2.77,0.7,O,1,1X/12,NG,ODD,3.43,2.07
2024-04-09 23:00:00,Gremio Porto Alegre - Huachipato,1.28,5.75,9.75,CLICUP,157.38,2.54,0.73,O,1,1X/12,GG,EVEN,3.33,1.81
2024-04-09 23:00:00,Corinthians - Nacional Asuncion,1.35,4.75,9.0,CPCUP,233.23,2.05,0.79,O,1,1X/12,NG,ODD,2.9,1.26
2024-04-09 23:00:00,Argentinos Juniors - Racing Montevideo,1.39,4.5,8.0,CPCUP,204.7,1.86,0.74,U,1,1X/12,NG,EVEN,2.6,1.12
2024-04-09 23:30:00,Danubio - Sportivo Ameliano,1.85,3.4,4.2,CPCUP,17.56,1.27,0.91,U,X,1X,NG,ODD,2.23,0.36
2024-04-10 01:00:00,Libertad Asuncion - Deportivo Tachira,1.31,5.25,8.75,CLICUP,237.36,2.63,0.77,O,1,1X/12,GG,EVEN,3.49,1.86
2024-04-10 01:00:00,Fluminense - Colo Colo,1.5,4.0,6.5,CLICUP,107.24,1.56,1.17,O,2,1X,GG,EVEN,2.69,0.39
2024-04-10 01:00:00,Boca Juniors - Sportivo Trinidense,1.2,6.5,14.0,CPCUP,306.9,2.56,0.61,O,1,1X/12,NG,ODD,3.02,1.95
2024-04-10 01:30:00,Athletico PR - Deportivo Rayo Zuliano,1.06,12.5,36.0,CPCUP,451.04,2.69,0.34,U,1,1X/12,NG,ODD,2.95,2.35
2024-04-10 02:05:00,Cancun FC - Dorados,1.31,4.75,7.25,MX2,227.14,2.69,1.08,O,1,1X/12,GG,ODD,3.8,1.61
2024-04-10 03:00:00,Atletico Junior - Universitario De Deportes,1.72,3.7,4.6,CLICUP,-27.25,1.82,0.91,U,1,1X/12,NG,EVEN,2.67,0.91
2024-04-10 04:05:00,Club Atletico La Paz - Venados FC,2.25,3.3,2.65,MX2,-63.81,1.32,1.23,O,2,1X,GG,EVEN,2.6,0.09
2024-04-10 05:35:00,Cangzhou - Changchun Yatai,2.1,3.4,3.0,CN1,38.88,1.44,1.17,O,1,1X,GG,ODD,2.65,0.27
2024-04-10 06:00:00,FC Anyang - Bucheon FC 1995,1.93,3.2,3.4,KR2,57.15,1.13,0.96,U,X,1X,NG,EVEN,2.09,0.17
2024-04-10 06:00:00,Seongnam FC - Seoul E-Land FC,2.25,3.0,2.85,KR2,-37.83,1.18,1.01,U,X,1X,GG,EVEN,2.18,0.17
2024-04-10 06:00:00,Cheongju FC - Gimpo FC,2.3,3.0,2.8,KR2,-32.78,1.09,1.06,U,2,1X,NG,EVEN,2.13,0.03
2024-04-10 06:00:00,Suwon Bluewings - Jeonnam Dragons,1.9,3.1,3.6,KR2,100.6,1.19,0.82,U,X,1X,NG,EVEN,1.96,0.37
2024-04-10 08:30:00,Ansan Greeners - Chungnam Asan,3.4,3.1,1.98,KR2,-135.22,0.83,1.11,U,X,2X,GG,EVEN,2.01,-0.28
2024-04-10 08:30:00,Cheonan City - Busan I Park,3.25,3.1,2.0,KR2,-152.42,1.18,1.37,O,2,2X,GG,EVEN,2.6,-0.19
2024-04-10 12:00:00,Qingdao Youth Island - Tianjin Tigers,2.75,3.3,2.3,CN1,-125.1,1.49,1.55,U,X,2X,GG,EVEN,3.14,-0.06
2024-04-10 12:35:00,Chengdu Rongcheng - Zhejiang Professional,1.8,3.6,3.8,CN1,82.71,1.99,0.77,O,1,1X/12,NG,EVEN,2.83,1.22
2024-04-10 13:00:00,Meizhou Hakka - Qingdao Hainiu,2.1,3.3,3.1,CN1,12.81,1.29,0.97,O,1,1X,GG,ODD,2.31,0.32
2024-04-10 13:45:00,NK Celje - NK Bravo,1.49,4.1,5.75,SI1,196.76,1.68,1.2,U,1,1X,GG,ODD,2.94,0.48
2024-04-10 15:00:00,Punjab FC - East Bengal,2.8,3.4,2.25,IN1,-31.76,1.38,1.2,U,2,1X,GG,EVEN,2.58,0.18
