Datetime,Pairing,Home,Draw,Away,League,Ratings Diff,Home Goals Est,Away Goals Est,OU Est,1X2 Est,Goal Diff Est,Total Goals Est,Goal Diff
2023-11-21 03:58:00,Malawi - Tunisia,6.0,3.6,1.6,WCQ,-327.83,0.81,1.62,U,2,2X/12,2.39,-0.81
2023-11-21 03:58:00,Botswana - Guinea,3.8,3.1,2.05,WCQ,-144.79,0.9,1.09,U,1,2X,1.97,-0.19
2023-11-21 03:58:00,Myanmar - Korea DPR,13.5,7.0,1.17,WCQ,-385.35,0.44,2.59,O,2,2X/12,2.99,-2.15
2023-11-21 03:58:00,Niger - Zambia,5.75,3.9,1.57,WCQ,-282.29,0.97,1.51,U,2,2X,2.54,-0.54
2023-11-21 08:30:00,Inter Kashi FC - Mohammedan SC,3.25,3.7,1.83,IN2,-156.17,1.41,1.95,O,2,2X,3.25,-0.54
2023-11-21 09:00:00,Pakistan - Tajikistan,7.5,5.0,1.37,WCQ,-416.51,0.92,1.89,O,2,2X/12,2.86,-0.97
2023-11-21 10:00:00,Japan (U19) - Romania U19,1.83,3.3,3.75,FR,-37.56,1.35,1.04,U,1,1X,2.32,0.31
2023-11-21 10:00:00,Ivory Coast (U23) - Iraq U23,1.68,3.6,4.2,FR,-71.67,2.04,1.03,U,1,1X/12,3.01,1.01
2023-11-21 10:00:00,Slovakia U19 - Ukraine U19,2.2,3.3,2.75,EYQ,75.08,1.24,1.22,O,1,1X,2.33,0.02
2023-11-21 11:00:00,Moldova U19 - Cyprus U19,3.9,3.4,1.75,EYQ,27.01,1.02,1.24,O,X,2X,2.14,-0.22
2023-11-21 11:00:00,Georgia U19 - Spain U19,16.5,9.0,1.09,EYQ,-438.82,0.32,2.75,O,2,2X/12,3.09,-2.43
2023-11-21 11:00:00,Chinese Taipei - Malaysia,7.5,4.8,1.37,WCQ,-395.12,0.83,1.67,O,2,2X/12,2.58,-0.84
2023-11-21 11:00:00,Philippines - Indonesia,4.5,3.7,1.73,WCQ,-280.01,0.83,1.51,U,2,2X/12,2.14,-0.68
2023-11-21 11:30:00,Croatia U19 - Israel U19,2.0,3.4,3.0,EYQ,60.91,1.86,1.04,O,1,1X/12,2.85,0.82
2023-11-21 11:30:00,Färöer U19 - Armenia U19,3.7,3.4,1.8,EYQ,-62.59,1.12,1.57,O,X,2X,2.58,-0.45
